Field Name,Currently Included,Null %,Unique Values,Category,Sample Values,Recommendation,Reason
"Realm Data Owner Agent Realm Data Client Upload File",Yes,0.95,1,SINGLE_VALUE,"file",DISABLE,Single value field - no variation in data
"Client Address Country",Yes,98.23,90,SPARSE,"USA, United States, United States of America",DISABLE,Extremely sparse (>98% null)
"Client Address Postal Code",Yes,99.13,1723,SPARSE,"83001, 83014, 59901",DISABLE,Extremely sparse (>98% null)
"Client Demographics Birth Date",Yes,99.95,254,SPARSE,"1604-05-07, 11/28/2006, 1604-09-30 00:00:00",DISABLE,Extremely sparse (>98% null)
"Client Golf Interest",Yes,97.44,7,SPARSE,"7, 3, 8",CONSIDER,High sparsity but could have niche value
"Client Name Middle Name",Yes,99.84,318,SPARSE,"(Mary Katharine), Cheek -, Freeze",DISABLE,Extremely sparse (>98% null)
"Client Name Prefix",Yes,98.90,2489,SPARSE,"Mr & Mrs, Associate Broker, Mr.",DISABLE,Extremely sparse (>98% null)
"Client Name Suffix",Yes,99.96,39,SPARSE,"Jr., Mrs, Mr",DISABLE,Extremely sparse (>98% null)
"Realm Data Owner Team Website URL",Yes,97.72,6,SPARSE,"https://jacksonholeexperts.com, https://livejacksonhole.com, https://jacksonholebrokers.com/about-us/",CONSIDER,High sparsity but useful for team info
"Agents",Yes,0.75,591,MEANINGFUL,"Emily Eldredge..., Christy Gillespie..., Richard Lewis...",KEEP,Good coverage and meaningful data
"Client",Yes,0.00,563324,MEANINGFUL,"5beb22790c1b8a6083846422, 5beb22790c1b8a174284640b, 5beb22790c1b8a31fa846402",DISABLE,Raw ObjectId field - technical identifier
"Client Address City",Yes,75.31,7082,MEANINGFUL,"Jackson, Wilson, Kalispell",KEEP,25% coverage with useful geographic data
"Client Address State",Yes,75.03,770,MEANINGFUL,"WY, MT, FL",KEEP,25% coverage with useful geographic data
"Client Age",Yes,67.54,82,MEANINGFUL,"71, 53, 76",KEEP,32% coverage with valuable demographic data
"Client Area Median Home Value",Yes,83.48,6328,MEANINGFUL,"79800, 360500, 158000",KEEP,17% coverage with useful economic indicator
"Client Birth Year",Yes,67.55,85,MEANINGFUL,"1953, 1968, 1945",KEEP,32% coverage with demographic data
"Client Charity Interest",Yes,73.21,2,MEANINGFUL,"1, 0",KEEP,27% coverage with behavioral data
"Client Data Source",Yes,4.70,41,MEANINGFUL,"AA,Experian,AID, AA,AID, AA,Experian",KEEP,95% coverage - metadata about data provenance
"Client Dwelling Type",Yes,65.99,5,MEANINGFUL,"Multi Family Dwelling/Apartment, Single Family, Unknown",KEEP,34% coverage with housing type data
"Client Education Level",Yes,67.14,8,MEANINGFUL,"Unknown, Completed College, Some College",KEEP,33% coverage with valuable demographic data
"Client Education Ordinal",Yes,69.54,7,MEANINGFUL,"5, 4, 3",KEEP,30% coverage with ordinal education data
"Client Family Affinity",Yes,85.39,9,MEANINGFUL,"9, 7, 3",KEEP,15% coverage with family-related metric
"Client Gender Male",Yes,76.18,2,MEANINGFUL,"1, 0",KEEP,24% coverage with demographic data
"Client Health Interest",Yes,88.88,9,MEANINGFUL,"3, 5, 7",CONSIDER,11% coverage - sparse but could be valuable
"Client Home Owner",Yes,67.27,4,MEANINGFUL,"Home Owner, Unknown, Renter",KEEP,33% coverage with ownership status
"Client Home Value",Yes,76.54,35384,MEANINGFUL,"246500, 868000, 1009300",KEEP,23% coverage with property value data
"Client Household Income",Yes,67.29,25,MEANINGFUL,"M. $175,000-$199,999, K. $100,000-$149,999, 0. Unknown",KEEP,33% coverage with income brackets
"Client Household Income Midpoint",Yes,70.00,23,MEANINGFUL,"187500, 125000, 87500",KEEP,30% coverage with income data
"Client Household Net Worth",Yes,70.65,10,MEANINGFUL,"J. Greater than $499,999, H. $100,000 - $249,999, A. Unknown",KEEP,29% coverage with wealth data
"Client Household Size",Yes,65.27,12,MEANINGFUL,"1, 2, 4",KEEP,35% coverage with household composition
"Client Income Level",Yes,67.29,11,MEANINGFUL,"GT_150K, 100K_150, Unknown",KEEP,33% coverage with income tiers
"Client Length of Residence",Yes,69.16,47,MEANINGFUL,"25, 5, 15",KEEP,31% coverage with residency duration
"Client Luxury Lifestyle",Yes,81.72,2,MEANINGFUL,"0, 1",KEEP,18% coverage with lifestyle indicator
"Client Marital Status",Yes,77.27,2,MEANINGFUL,"0, 1",KEEP,23% coverage with marital status
"Client Name First Name",Yes,0.03,82186,MEANINGFUL,"Dave, Noa, Scott",KEEP,Excellent coverage - essential name field
"Client Name Full Name",Yes,0.03,489548,MEANINGFUL,"Dave Meyers, Noa Staryk, Dave Spackman",KEEP,Excellent coverage - full name field
"Client Name Last Name",Yes,4.55,160464,MEANINGFUL,"Meyers, Staryk, Spackman",KEEP,95% coverage - essential name field
"Client Net Worth Midpoint",Yes,76.65,9,MEANINGFUL,"175000, 750000, 1",KEEP,23% coverage with wealth metric
"Client Number of Adults",Yes,70.41,10,MEANINGFUL,"1, 2, 3",KEEP,30% coverage with household composition
