Field Path,Business Name,Currently Included,Null %,Unique Values,Category,Sample Values,Recommendation,Reason
realmData.ownerAgent_expanded.realmData.clientUpload.file,Realm Data Owner Agent Realm Data Client Upload File,Yes,0.95,1,SINGLE_VALUE,file,DISABLE,Single value only: file
client_expanded.address.country,Client Address Country,Yes,98.23,90,SPARSE,"USA, United States, United States of America",DISABLE,Extremely sparse (98.2% null)
client_expanded.address.postalCode,Client Address Postal Code,Yes,99.13,1723,SPARSE,"83001, 83014, 59901",DISABLE,Extremely sparse (99.1% null)
client_expanded.demographics.birthDate,Client Demographics Birth Date,Yes,99.95,254,SPARSE,"1604-05-07, 11/28/2006, 1604-09-30 00:00:00",DISABLE,Extremely sparse (100.0% null)
Client Golf Interest,Client Golf Interest,Yes,97.44,7,SPARSE,"7, 3, 8",CONSIDER,Very sparse (97.4% null)
client_expanded.name.middleName,Client Name Middle Name,Yes,99.84,318,SPARSE,"(Mary Katharine), Cheek -, Freeze",DISABLE,Extremely sparse (99.8% null)
client_expanded.name.prefix,Client Name Prefix,Yes,98.90,2489,SPARSE,"Mr & Mrs, Associate Broker, Mr.",DISABLE,Extremely sparse (98.9% null)
client_expanded.name.suffix,Client Name Suffix,Yes,99.96,39,SPARSE,"Jr., Mrs, Mr",DISABLE,Extremely sparse (100.0% null)
realmData.ownerTeam_expanded.websiteURL,Realm Data Owner Team Website URL,Yes,97.72,6,SPARSE,"https://jacksonholeexperts.com, https://livejacksonhole.com, https://jacksonholebrokers.com/about-us/",CONSIDER,Very sparse (97.7% null)
agents,Agents,Yes,0.75,591,MEANINGFUL,"Emily Eldredge, Graham Faupel Mendenhall & Associates, Julie Faupel, Karen Terra, Luna Wang, Mack Mendenhall, Matt Faupel, tess hartnett, Christy Gillespie, garth gillespie, Richard Lewis, chopper grassell",KEEP,Good data coverage
client_expanded._id,Client,Yes,0.00,563324,MEANINGFUL,"5beb22790c1b8a6083846422, 5beb22790c1b8a174284640b, 5beb22790c1b8a31fa846402",DISABLE,Raw ObjectId field
client_expanded.address.city,Client Address City,Yes,75.31,7082,MEANINGFUL,"Jackson, Wilson, Kalispell",KEEP,Good data coverage
client_expanded.address.state,Client Address State,Yes,75.03,770,MEANINGFUL,"WY, MT, FL",KEEP,Good data coverage
Client Age,Client Age,Yes,67.54,82,MEANINGFUL,"71, 53, 76",KEEP,Good data coverage
Client Area Median Home Value,Client Area Median Home Value,Yes,83.48,6328,MEANINGFUL,"79800, 360500, 158000",KEEP,Good data coverage
Client Birth Year,Client Birth Year,Yes,67.55,85,MEANINGFUL,"1953, 1968, 1945",KEEP,Good data coverage
Client Charity Interest,Client Charity Interest,Yes,73.21,2,MEANINGFUL,"1, 0",CONSIDER,Low variation (2 values)
Client Data Source,Client Data Source,Yes,4.70,41,MEANINGFUL,"AA,Experian,AID, AA,AID, AA,Experian",KEEP,Good data coverage
Client Dwelling Type,Client Dwelling Type,Yes,65.99,5,MEANINGFUL,"Multi Family Dwelling/Apartment, Single Family, Unknown",KEEP,Good data coverage
Client Education Level,Client Education Level,Yes,67.14,8,MEANINGFUL,"Unknown, Completed College, Some College",KEEP,Good data coverage
